region,offset,bit,model_class
imem,0x0b0,8,MASKED
imem,0x0b0,9,SDC
imem,0x0b0,10,SDC
imem,0x0b0,11,SDC
imem,0x0b0,12,UNCERTAIN
imem,0x0b0,13,SDC
imem,0x0b0,14,UNCERTAIN
imem,0x0b0,15,MASKED
imem,0x0b0,16,MASKED
imem,0x0b0,17,MASKED
imem,0x0b0,18,SDC
imem,0x0b0,19,MASKED
imem,0x0b0,20,SDC
imem,0x0b0,21,SDC
imem,0x0b0,22,SDC
imem,0x0b0,23,SDC
imem,0x0b0,24,SDC
imem,0x0b0,25,SDC
imem,0x0b0,26,SDC
imem,0x0b0,27,SDC
imem,0x0b0,28,SDC
imem,0x0b0,29,SDC
imem,0x0b0,30,SDC
imem,0x0b0,31,HANG
imem,0x0b4,0,HANG
imem,0x0b4,1,HANG
imem,0x0b4,2,HANG
imem,0x0b4,3,HANG
imem,0x0b4,4,HANG
imem,0x0b4,5,HANG
imem,0x0b4,6,HANG
imem,0x0b4,7,HANG
imem,0x0b4,8,HANG
imem,0x0b4,9,HANG
imem,0x0b4,10,HANG
imem,0x0b4,11,HANG
imem,0x0b4,12,HANG
imem,0x0b4,13,SDC
imem,0x0b4,14,MASKED
imem,0x0b4,15,MASKED
imem,0x0b4,16,MASKED
imem,0x0b4,17,MASKED
imem,0x0b4,18,MASKED
imem,0x0b4,19,MASKED
imem,0x0b4,20,MASKED
imem,0x0b4,21,MASKED
imem,0x0b4,22,SDC
imem,0x0b4,23,MASKED
imem,0x0b4,24,MASKED
imem,0x0b4,25,MASKED
imem,0x0b4,26,MASKED
imem,0x0b4,27,MASKED
imem,0x0b4,28,MASKED
imem,0x0b4,29,HANG
imem,0x0b4,30,HANG
imem,0x0b4,31,HANG
imem,0x0b8,0,SDC
imem,0x0b8,1,SDC
imem,0x0b8,2,HANG
imem,0x0b8,3,SDC
imem,0x0b8,4,SDC
imem,0x0b8,5,UNCERTAIN
imem,0x0b8,6,SDC
imem,0x0b8,7,SDC
imem,0x0b8,8,SDC
imem,0x0b8,9,SDC
imem,0x0b8,10,SDC
imem,0x0b8,11,SDC
imem,0x0b8,12,SDC
imem,0x0b8,13,SDC
imem,0x0b8,14,MASKED
imem,0x0b8,15,MASKED
imem,0x0b8,16,MASKED
imem,0x0b8,17,MASKED
imem,0x0b8,18,SDC
imem,0x0b8,19,MASKED
imem,0x0b8,20,MASKED
imem,0x0b8,21,MASKED
imem,0x0b8,22,SDC
imem,0x0b8,23,SDC
imem,0x0b8,24,SDC
imem,0x0b8,25,SDC
imem,0x0b8,26,SDC
imem,0x0b8,27,SDC
imem,0x0b8,28,SDC
imem,0x0b8,29,SDC
imem,0x0b8,30,SDC
imem,0x0b8,31,HANG
imem,0x0bc,0,HANG
imem,0x0bc,1,HANG
imem,0x0bc,2,HANG
imem,0x0bc,3,HANG
imem,0x0bc,4,HANG
imem,0x0bc,5,HANG
imem,0x0bc,6,HANG
imem,0x0bc,7,HANG
imem,0x0bc,8,HANG
imem,0x0bc,9,HANG
imem,0x0bc,10,HANG
imem,0x0bc,11,HANG
imem,0x0bc,12,HANG
imem,0x0bc,13,SDC
imem,0x0bc,14,MASKED
imem,0x0bc,15,MASKED
imem,0x0bc,16,MASKED
imem,0x0bc,17,MASKED
imem,0x0bc,18,SDC
imem,0x0bc,19,MASKED
imem,0x0bc,20,SDC
imem,0x0bc,21,SDC
imem,0x0bc,22,SDC
imem,0x0bc,23,SDC
imem,0x0bc,24,SDC
imem,0x0bc,25,SDC
imem,0x0bc,26,SDC
imem,0x0bc,27,SDC
imem,0x0bc,28,SDC
imem,0x0bc,29,HANG
imem,0x0bc,30,HANG
imem,0x0bc,31,HANG
imem,0x0c0,0,SDC
imem,0x0c0,1,SDC
imem,0x0c0,2,SDC
imem,0x0c0,3,SDC
imem,0x0c0,4,SDC
imem,0x0c0,5,SDC
imem,0x0c0,6,SDC
imem,0x0c0,7,SDC
imem,0x0c0,8,SDC
imem,0x0c0,9,SDC
imem,0x0c0,10,SDC
imem,0x0c0,11,SDC
imem,0x0c0,12,UNCERTAIN
imem,0x0c0,13,SDC
imem,0x0c0,14,UNCERTAIN
imem,0x0c0,15,SDC
imem,0x0c0,16,SDC
imem,0x0c0,17,SDC
imem,0x0c0,18,SDC
imem,0x0c0,19,SDC
imem,0x0c0,20,MASKED
imem,0x0c0,21,MASKED
imem,0x0c0,22,SDC
imem,0x0c0,23,SDC
imem,0x0c0,24,SDC
imem,0x0c0,25,SDC
imem,0x0c0,26,SDC
imem,0x0c0,27,SDC
imem,0x0c0,28,SDC
imem,0x0c0,29,SDC
imem,0x0c0,30,SDC
imem,0x0c0,31,HANG
imem,0x0c4,0,SDC
imem,0x0c4,1,SDC
imem,0x0c4,2,SDC
imem,0x0c4,3,SDC
imem,0x0c4,4,SDC
imem,0x0c4,5,SDC
imem,0x0c4,6,SDC
imem,0x0c4,7,SDC
imem,0x0c4,8,HANG
imem,0x0c4,9,SDC
imem,0x0c4,10,SDC
imem,0x0c4,11,SDC
imem,0x0c4,12,UNCERTAIN
imem,0x0c4,13,SDC
imem,0x0c4,14,UNCERTAIN
imem,0x0c4,15,SDC
imem,0x0c4,16,SDC
imem,0x0c4,17,SDC
imem,0x0c4,18,SDC
imem,0x0c4,19,SDC
imem,0x0c4,20,MASKED
imem,0x0c4,21,MASKED
imem,0x0c4,22,SDC
imem,0x0c4,23,SDC
imem,0x0c4,24,SDC
imem,0x0c4,25,SDC
imem,0x0c4,26,SDC
imem,0x0c4,27,SDC
imem,0x0c4,28,SDC
imem,0x0c4,29,SDC
imem,0x0c4,30,SDC
imem,0x0c4,31,HANG
imem,0x0c8,0,SDC
imem,0x0c8,1,SDC
imem,0x0c8,2,SDC
imem,0x0c8,3,SDC
imem,0x0c8,4,SDC
imem,0x0c8,5,SDC
imem,0x0c8,6,UNCERTAIN
imem,0x0c8,7,HANG
imem,0x0c8,8,UNCERTAIN
imem,0x0c8,9,SDC
imem,0x0c8,10,SDC
imem,0x0c8,11,HANG
imem,0x0c8,12,SDC
imem,0x0c8,13,SDC
imem,0x0c8,14,SDC
imem,0x0c8,15,SDC
imem,0x0c8,16,SDC
imem,0x0c8,17,SDC
imem,0x0c8,18,SDC
imem,0x0c8,19,SDC
imem,0x0c8,20,SDC
imem,0x0c8,21,SDC
imem,0x0c8,22,SDC
imem,0x0c8,23,SDC
imem,0x0c8,24,SDC
imem,0x0c8,25,NO_RESULT
imem,0x0c8,26,HANG
imem,0x0c8,27,HANG
imem,0x0c8,28,HANG
imem,0x0c8,29,HANG
imem,0x0c8,30,HANG
imem,0x0c8,31,HANG
imem,0x0cc,0,SDC
imem,0x0cc,1,SDC
imem,0x0cc,2,SDC
imem,0x0cc,3,SDC
imem,0x0cc,4,SDC
imem,0x0cc,5,SDC
imem,0x0cc,6,UNCERTAIN
imem,0x0cc,7,MASKED
imem,0x0cc,8,MASKED
imem,0x0cc,9,SDC
imem,0x0cc,10,SDC
imem,0x0cc,11,SDC
imem,0x0cc,12,UNCERTAIN
imem,0x0cc,13,SDC
imem,0x0cc,14,UNCERTAIN
imem,0x0cc,15,SDC
imem,0x0cc,16,SDC
imem,0x0cc,17,SDC
imem,0x0cc,18,SDC
imem,0x0cc,19,SDC
imem,0x0cc,20,SDC
imem,0x0cc,21,SDC
imem,0x0cc,22,SDC
imem,0x0cc,23,SDC
imem,0x0cc,24,SDC
imem,0x0cc,25,SDC
imem,0x0cc,26,SDC
imem,0x0cc,27,SDC
imem,0x0cc,28,SDC
imem,0x0cc,29,SDC
imem,0x0cc,30,SDC
imem,0x0cc,31,HANG
imem,0x0d0,0,SDC
imem,0x0d0,1,SDC
imem,0x0d0,2,SDC
imem,0x0d0,3,SDC
imem,0x0d0,4,SDC
imem,0x0d0,5,SDC
imem,0x0d0,6,UNCERTAIN
imem,0x0d0,7,MASKED
imem,0x0d0,8,MASKED
imem,0x0d0,9,SDC
imem,0x0d0,10,SDC
imem,0x0d0,11,SDC
imem,0x0d0,12,UNCERTAIN
imem,0x0d0,13,SDC
imem,0x0d0,14,UNCERTAIN
imem,0x0d0,15,SDC
imem,0x0d0,16,SDC
imem,0x0d0,17,SDC
imem,0x0d0,18,SDC
imem,0x0d0,19,SDC
imem,0x0d0,20,SDC
imem,0x0d0,21,SDC
imem,0x0d0,22,SDC
imem,0x0d0,23,SDC
imem,0x0d0,24,SDC
imem,0x0d0,25,SDC
imem,0x0d0,26,SDC
imem,0x0d0,27,SDC
imem,0x0d0,28,SDC
imem,0x0d0,29,SDC
imem,0x0d0,30,SDC
imem,0x0d0,31,HANG
imem,0x0d4,0,SDC
imem,0x0d4,1,SDC
imem,0x0d4,2,HANG
imem,0x0d4,3,SDC
imem,0x0d4,4,SDC
imem,0x0d4,5,SDC
imem,0x0d4,6,SDC
imem,0x0d4,7,SDC
imem,0x0d4,8,SDC
imem,0x0d4,9,SDC
imem,0x0d4,10,SDC
imem,0x0d4,11,SDC
imem,0x0d4,12,UNCERTAIN
imem,0x0d4,13,SDC
imem,0x0d4,14,SDC
imem,0x0d4,15,SDC
imem,0x0d4,16,SDC
imem,0x0d4,17,SDC
imem,0x0d4,18,SDC
imem,0x0d4,19,SDC
imem,0x0d4,20,SDC
imem,0x0d4,21,SDC
imem,0x0d4,22,SDC
imem,0x0d4,23,SDC
imem,0x0d4,24,SDC
imem,0x0d4,25,SDC
imem,0x0d4,26,SDC
imem,0x0d4,27,SDC
imem,0x0d4,28,SDC
imem,0x0d4,29,SDC
imem,0x0d4,30,SDC
imem,0x0d4,31,HANG
imem,0x0d8,0,HANG
imem,0x0d8,1,HANG
imem,0x0d8,2,HANG
imem,0x0d8,3,HANG
imem,0x0d8,4,HANG
imem,0x0d8,5,UNCERTAIN
imem,0x0d8,6,HANG
imem,0x0d8,7,HANG
imem,0x0d8,8,HANG
imem,0x0d8,9,HANG
imem,0x0d8,10,HANG
imem,0x0d8,11,HANG
imem,0x0d8,12,SDC
imem,0x0d8,13,SDC
imem,0x0d8,14,HANG
imem,0x0d8,15,HANG
imem,0x0d8,16,HANG
imem,0x0d8,17,HANG
imem,0x0d8,18,HANG
imem,0x0d8,19,HANG
imem,0x0d8,20,HANG
imem,0x0d8,21,HANG
imem,0x0d8,22,HANG
imem,0x0d8,23,HANG
imem,0x0d8,24,HANG
imem,0x0d8,25,HANG
imem,0x0d8,26,HANG
imem,0x0d8,27,HANG
imem,0x0d8,28,HANG
imem,0x0d8,29,HANG
imem,0x0d8,30,HANG
imem,0x0d8,31,HANG
imem,0x0dc,0,SDC
imem,0x0dc,1,SDC
imem,0x0dc,2,SDC
imem,0x0dc,3,SDC
imem,0x0dc,4,SDC
imem,0x0dc,5,SDC
imem,0x0dc,6,HANG
imem,0x0dc,7,HANG
imem,0x0dc,8,UNCERTAIN
imem,0x0dc,9,HANG
imem,0x0dc,10,SDC
imem,0x0dc,11,SDC
imem,0x0dc,12,SDC
imem,0x0dc,13,UNCERTAIN
imem,0x0dc,14,MASKED
imem,0x0dc,15,SDC
imem,0x0dc,16,SDC
imem,0x0dc,17,SDC
imem,0x0dc,18,SDC
imem,0x0dc,19,SDC
imem,0x0dc,20,MASKED
imem,0x0dc,21,MASKED
imem,0x0dc,22,MASKED
imem,0x0dc,23,HANG
imem,0x0dc,24,MASKED
imem,0x0dc,25,HANG
imem,0x0dc,26,HANG
imem,0x0dc,27,HANG
imem,0x0dc,28,HANG
imem,0x0dc,29,HANG
imem,0x0dc,30,HANG
imem,0x0dc,31,HANG
imem,0x0e0,0,HANG
imem,0x0e0,1,HANG
imem,0x0e0,2,HANG
imem,0x0e0,3,HANG
imem,0x0e0,4,HANG
imem,0x0e0,5,UNCERTAIN
imem,0x0e0,6,HANG
imem,0x0e0,7,HANG
imem,0x0e0,8,HANG
imem,0x0e0,9,HANG
imem,0x0e0,10,HANG
imem,0x0e0,11,HANG
imem,0x0e0,12,SDC
imem,0x0e0,13,SDC
imem,0x0e0,14,HANG
imem,0x0e0,15,HANG
imem,0x0e0,16,HANG
imem,0x0e0,17,HANG
imem,0x0e0,18,HANG
imem,0x0e0,19,HANG
imem,0x0e0,20,HANG
imem,0x0e0,21,HANG
imem,0x0e0,22,HANG
imem,0x0e0,23,HANG
imem,0x0e0,24,HANG
imem,0x0e0,25,HANG
imem,0x0e0,26,HANG
imem,0x0e0,27,HANG
imem,0x0e0,28,HANG
imem,0x0e0,29,HANG
imem,0x0e0,30,HANG
imem,0x0e0,31,HANG
imem,0x0e4,0,SDC
imem,0x0e4,1,SDC
imem,0x0e4,2,SDC
imem,0x0e4,3,SDC
imem,0x0e4,4,SDC
imem,0x0e4,5,SDC
imem,0x0e4,6,HANG
imem,0x0e4,7,HANG
imem,0x0e4,8,UNCERTAIN
imem,0x0e4,9,HANG
imem,0x0e4,10,HANG
